ID,steps_to_reproduce_file,language,tool,tool_link,project,project_link,project_default_branch,project_sha,can_run_locally,has_nondeterminism,steps_to_reproduce,remarks
22,Java_PathFinder_geekxh_hello-algorithm.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm,master,60a2b5f56d4d982c12fa2e04b6005fc27cb8d903,,,,
23,Java_PathFinder_alibaba_arthas.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,alibaba/arthas,https://github.com/alibaba/arthas,master,b9fe1e1747fdbf657c4660805316043e955ed520,,,,
24,Java_PathFinder_airbnb_lottie-android.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,airbnb/lottie-android,https://github.com/airbnb/lottie-android,master,aebf9bc07bc54979633f3355ada3d3e6e12986a3,,,,
25,Java_PathFinder_bumptech_glide.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,bumptech/glide,https://github.com/bumptech/glide,master,a7351b0ecf6656ad937fbc52fe9e90d3b289c265,,,,
26,Java_PathFinder_Blankj_AndroidUtilCode.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,master,51c8124045ec5b7c6d342b94a4020ed2f7fda496,,,,
27,Java_PathFinder_netty_netty.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,netty/netty,https://github.com/netty/netty,4.1,2e413d6c73aac00d4541bab119c7a2c330bf8235,,,,
28,Java_PathFinder_zxing_zxing.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,zxing/zxing,https://github.com/zxing/zxing,master,2326dd4ff3adb9cd7ecd0d2937e37b4babe0a1fe,,,,
29,Java_PathFinder_xkcoding_spring-boot-demo.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo,master,87a142f9604c1a5365b4d24d22c2c11c26a9d5ab,,,,
30,Java_PathFinder_halo-dev_halo.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,halo-dev/halo,https://github.com/halo-dev/halo,main,2178bd8b80d372ba2575176ac609e070ce5696f8,,,,
31,Java_PathFinder_alibaba_easyexcel.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,alibaba/easyexcel,https://github.com/alibaba/easyexcel,master,5ad28d92a981913fccc2e42933a4c07062758a12,,,,
32,Java_PathFinder_termux_termux-app.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,termux/termux-app,https://github.com/termux/termux-app,master,2f40df91e54662190befe3b981595209944348e8,,,,
33,Java_PathFinder_ityouknow_spring-boot-examples.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,ityouknow/spring-boot-examples,https://github.com/ityouknow/spring-boot-examples,master,53c8c8d6d0b957e9d4ae02f99d5993d5e699d522,,,,
34,Java_PathFinder_SeleniumHQ_selenium.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium,trunk,2f7ac692524b16edf18feaebed093e3be50135dc,,,,
35,Java_PathFinder_alibaba_nacos.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,alibaba/nacos,https://github.com/alibaba/nacos,develop,70ad2eb991a934bc043ac0496754d382e74917c6,,,,
36,Java_PathFinder_doocs_leetcode.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,doocs/leetcode,https://github.com/doocs/leetcode,main,0ae1f13a4591bcc7ba2d5a5f8d77444634cee6d4,,,,
37,Java_PathFinder_apolloconfig_apollo.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,apolloconfig/apollo,https://github.com/apolloconfig/apollo,master,3d14e6f974eb611e65dc9abe2d50ba5afbb2b6c9,,,,
38,Java_PathFinder_TeamNewPipe_NewPipe.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe,dev,879d7a24f05ab06510be249f2f3b5109f7c89dcc,,,,
39,Java_PathFinder_dromara_hutool.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,dromara/hutool,https://github.com/dromara/hutool,v5-master,3e716fcf0a80d91f74cce6545ee089aad1e89ce9,,,,
40,Java_PathFinder_wuyouzhuguli_SpringAll.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,wuyouzhuguli/SpringAll,https://github.com/wuyouzhuguli/SpringAll,master,614d2578d9495acf53cc02f2dee9c6131cc5e51a,,,,
41,Java_PathFinder_alibaba_canal.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,alibaba/canal,https://github.com/alibaba/canal,master,bbea8029148969195a41f65b17ac650c93e64580,,,,
42,Java_PathFinder_alibaba_druid.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,alibaba/druid,https://github.com/alibaba/druid,master,957bbab0e068a4cbe2707d85db08302ba1684a5e,,,,
43,Java_PathFinder_apache_kafka.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,apache/kafka,https://github.com/apache/kafka,trunk,da5f4424dc317f5ef1303c012d3c6a84b722b217,,,,
44,Java_PathFinder_alibaba_spring-cloud-alibaba.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,alibaba/spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,2023.x,26d483d7220cdfc23c33e40c6204fdf3f5561ef9,,,,
45,Java_PathFinder_crossoverJie_JCSprout.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,crossoverJie/JCSprout,https://github.com/crossoverJie/JCSprout,master,138bf674028a5e14584d94576cbacb97cbdf56de,,,,
46,Java_PathFinder_lenve_vhr.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,lenve/vhr,https://github.com/lenve/vhr,master,651a4be8bd9e9fd45b16e23278b0196edd033ed0,,,,
47,Java_PathFinder_xuxueli_xxl-job.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,xuxueli/xxl-job,https://github.com/xuxueli/xxl-job,master,1af1e82f0e54ff1700abb0b6ffb780dc7349e9ca,,,,
48,Java_PathFinder_qiurunze123_miaosha.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,qiurunze123/miaosha,https://github.com/qiurunze123/miaosha,master,280fc7dbb892025d5806ba0a8b3d568cb6b8f2d9,,,,
49,Java_PathFinder_alibaba_fastjson.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,alibaba/fastjson,https://github.com/alibaba/fastjson,master,c942c83443117b73af5ad278cc780270998ba3e1,,,,
50,Java_PathFinder_JakeWharton_butterknife.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,JakeWharton/butterknife,https://github.com/JakeWharton/butterknife,master,fcdebedf3276096db2f51bf6372b849b5a9c75ed,,,,
51,Java_PathFinder_hollischuang_toBeTopJavaer.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,hollischuang/toBeTopJavaer,https://github.com/hollischuang/toBeTopJavaer,master,4173f8a806c130d2ae6c71b678a06bb63c9213bb,,,,
52,Java_PathFinder_proxyee-down-org_proxyee-down.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,proxyee-down-org/proxyee-down,https://github.com/proxyee-down-org/proxyee-down,master,378f353e130b48095608409494f9d2698ff1ea4d,,,,
53,Java_PathFinder_apache_incubator-seata.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,apache/incubator-seata,https://github.com/apache/incubator-seata,2.x,4f16097d6934aeac324f524558661677bd755f5c,,,,
54,Java_PathFinder_signalapp_Signal-Android.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,signalapp/Signal-Android,https://github.com/signalapp/Signal-Android,main,bdcf2431e7f0fd7fe3dc4cda32fa6d1c182a116f,,,,
55,Java_PathFinder_scwang90_SmartRefreshLayout.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,scwang90/SmartRefreshLayout,https://github.com/scwang90/SmartRefreshLayout,main,e36dcec52005f93d2122ac9953f6a9e28f427f65,,,,
56,Java_PathFinder_greenrobot_EventBus.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,greenrobot/EventBus,https://github.com/greenrobot/EventBus,master,0194926b3bcf70cc0d7bfd3c5da16708dd5ab876,,,,
57,Java_PathFinder_YunaiV_ruoyi-vue-pro.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,YunaiV/ruoyi-vue-pro,https://github.com/YunaiV/ruoyi-vue-pro,master,02e0f5d0348e381a23c23909b2ec1e998de7ed9d,,,,
58,Java_PathFinder_Netflix_Hystrix.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,Netflix/Hystrix,https://github.com/Netflix/Hystrix,master,7c03bafe32b518182e09e92fa57358a01043a504,,,,
59,Java_PathFinder_DrKLO_Telegram.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,DrKLO/Telegram,https://github.com/DrKLO/Telegram,master,a906f12aaec2768969c77650a7e4b377baa6cf2a,,,,
60,Java_PathFinder_apache_skywalking.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,apache/skywalking,https://github.com/apache/skywalking,master,59cabc10a214ae635e6e38dfd36f6c5df2323152,,,,
61,Java_PathFinder_apache_flink.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,apache/flink,https://github.com/apache/flink,master,80af4d502318348ba15a8f75a2a622ce9dbdc968,,,,
62,Java_PathFinder_google_gson.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,google/gson,https://github.com/google/gson,main,18b08922537c16b0de1d503c82307d613aae0138,,,,
63,Java_PathFinder_redisson_redisson.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,redisson/redisson,https://github.com/redisson/redisson,master,803020f3b9a7c105eabbdc93f941ad27c64b3293,,,,
64,Java_PathFinder_libgdx_libgdx.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,libgdx/libgdx,https://github.com/libgdx/libgdx,master,980fa732f7e949dddf38d748d93920bbe7c765fc,,,,
65,Java_PathFinder_jenkinsci_jenkins.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins,master,33858d1c673efe415b2daabb9c54dc04a05b314d,,,,
66,Java_PathFinder_bazelbuild_bazel.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,bazelbuild/bazel,https://github.com/bazelbuild/bazel,master,0e7c0fb91eb6d6fd0f7a4e4bddf734569a9dd3b3,,,,
67,Java_PathFinder_Stirling-Tools_Stirling-PDF.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,Stirling-Tools/Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF,main,d730c6a12fc6ecbeddf12255c81367a423d70310,,,,
68,Java_PathFinder_alibaba_Sentinel.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,alibaba/Sentinel,https://github.com/alibaba/Sentinel,1.8,dbd3c06ca7c34918981ad70f1b123824f287adcf,,,,
69,Java_PathFinder_google_ExoPlayer.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,google/ExoPlayer,https://github.com/google/ExoPlayer,release-v2,faa296ae3c4ac3ceed514b247284f268953afad7,,,,
70,Java_PathFinder_Anuken_Mindustry.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,Anuken/Mindustry,https://github.com/Anuken/Mindustry,master,56388cbc79ce1359a90bb13cc66a9063bd7424dc,,,,
71,Java_PathFinder_elunez_eladmin.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,elunez/eladmin,https://github.com/elunez/eladmin,master,ab0d02a473e2bfb57cfd2bc7defcfbdacb802ce0,,,,
72,Java_PathFinder_apache_rocketmq.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,apache/rocketmq,https://github.com/apache/rocketmq,develop,af43a3e71f2bdb4765294f7d6314b1428737849d,,,,
73,Java_PathFinder_EnterpriseQualityCoding_FizzBuzzEnterpriseEdition.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,uinverse,4922c077c07a3744ae67ee8a932786f15bf57411,,,,
74,Java_PathFinder_doocs_source-code-hunter.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,doocs/source-code-hunter,https://github.com/doocs/source-code-hunter,main,cd0780e93bc8c162965a7a02d27df3a3348facec,,,,
75,Java_PathFinder_didi_DoKit.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,didi/DoKit,https://github.com/didi/DoKit,master,166a1a92c6fd509f6b0ae3e8dd9993f631b05709,,,,
76,Java_PathFinder_keycloak_keycloak.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,keycloak/keycloak,https://github.com/keycloak/keycloak,main,879fe082dd1f9fe6612f05dba8b8ff4a718040eb,,,,
77,Java_PathFinder_OpenAPITools_openapi-generator.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,OpenAPITools/openapi-generator,https://github.com/OpenAPITools/openapi-generator,master,0768ddcd7c7bd8b03871486fd5f07ac0bb04d65a,,,,
78,Java_PathFinder_ReactiveX_RxAndroid.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,ReactiveX/RxAndroid,https://github.com/ReactiveX/RxAndroid,3.x,c561bf7e7113e3a069cc5778e89c043b9406df7e,,,,
79,Java_PathFinder_oracle_graal.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,oracle/graal,https://github.com/oracle/graal,master,fefc2a03a1e46ce60ce4b03f223d83640fbef0f4,,,,
80,Java_PathFinder_CarGuo_GSYVideoPlayer.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,CarGuo/GSYVideoPlayer,https://github.com/CarGuo/GSYVideoPlayer,master,2aa00f8d2596eae6fed7e876914b6cab2c1ee9a1,,,,
81,Java_PathFinder_apache_shardingsphere.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,apache/shardingsphere,https://github.com/apache/shardingsphere,master,97604eb25afa75d95717184b7f521b4b9cc3c3c7,,,,
82,Java_PathFinder_mybatis_mybatis-3.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,mybatis/mybatis-3,https://github.com/mybatis/mybatis-3,master,c7c8d7bcbc8f12f27e740fa41755d9dcb4e2147c,,,,
83,Java_PathFinder_brettwooldridge_HikariCP.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,brettwooldridge/HikariCP,https://github.com/brettwooldridge/HikariCP,dev,0a6ccdb334b2ecde25ae090034669d534736a0de,,,,
84,Java_PathFinder_iBotPeaches_Apktool.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,iBotPeaches/Apktool,https://github.com/iBotPeaches/Apktool,master,53aa74301422e47bb29bd63007d612e75501ca51,,,,
85,Java_PathFinder_linlinjava_litemall.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,linlinjava/litemall,https://github.com/linlinjava/litemall,master,47ea5c7420f126081e7ef17a7182890def32457d,,,,
86,Java_PathFinder_Baseflow_PhotoView.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,Baseflow/PhotoView,https://github.com/Baseflow/PhotoView,master,565505d5cb84f5977771b5d2ccb7726338e77224,,,,
87,Java_PathFinder_yudaocode_SpringBoot-Labs.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,yudaocode/SpringBoot-Labs,https://github.com/yudaocode/SpringBoot-Labs,master,6c12efaed06d12907a0f40dd2ad1f7020aec8798,,,,
88,Java_PathFinder_dianping_cat.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,dianping/cat,https://github.com/dianping/cat,master,c667b7a03b3f456373647ba526bfa61e44a6b79c,,,,
89,Java_PathFinder_openjdk_jdk.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,openjdk/jdk,https://github.com/openjdk/jdk,master,b96b38c2c9a310d5fe49b2eda3e113a71223c7d1,,,,
90,Java_PathFinder_forezp_SpringCloudLearning.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,forezp/SpringCloudLearning,https://github.com/forezp/SpringCloudLearning,master,740106e00636df1b005fe13f66f1f9ecbafd8b1b,,,,
91,Java_PathFinder_Tencent_tinker.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,Tencent/tinker,https://github.com/Tencent/tinker,dev,630fb9ff23c7d484db40c40f4c6f3be021673097,,,,
92,Java_PathFinder_facebook_fresco.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,facebook/fresco,https://github.com/facebook/fresco,main,2b854a64b1c1d42e19595b97a82ff2e9609e3209,,,,
93,Java_PathFinder_LMAX-Exchange_disruptor.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,LMAX-Exchange/disruptor,https://github.com/LMAX-Exchange/disruptor,master,95c705f60c1833b07f1fed6e08a08d7bee7f0971,,,,
94,Java_PathFinder_nostra13_Android-Universal-Image-Loader.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,nostra13/Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader,master,458df4da2e23ba9ad76c79241a948cdfcccf72ae,,,,
95,Java_PathFinder_openzipkin_zipkin.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,openzipkin/zipkin,https://github.com/openzipkin/zipkin,master,e9725af236ea47991bfa27da110d680d0dd8f485,,,,
96,Java_PathFinder_Tencent_APIJSON.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,Tencent/APIJSON,https://github.com/Tencent/APIJSON,master,7403f0a7471819ae8897c2fa56ea7eea4ab9c4c7,,,,
97,Java_PathFinder_winterbe_java8-tutorial.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,winterbe/java8-tutorial,https://github.com/winterbe/java8-tutorial,master,9b79999be76274f0c11a5b1d4a4fff4e785dc774,,,,
98,Java_PathFinder_shuzheng_zheng.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,shuzheng/zheng,https://github.com/shuzheng/zheng,master,7005c0a775e6d014d1dc8a8a809f7b1c13bf785a,,,,
99,Java_PathFinder_williamfiset_Algorithms.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,williamfiset/Algorithms,https://github.com/williamfiset/Algorithms,master,da50861a53fc2f6642cfc7d82c285166f41d03e2,,,,
100,Java_PathFinder_antlr_antlr4.md,Java,Java PathFinder,https://github.com/javapathfinder/jpf-core,antlr/antlr4,https://github.com/antlr/antlr4,dev,380ce4b8b1658df16ada45e1d56d5aa476052376,,,,
101,Parasoft_JTest_Snailclimb_JavaGuide.md,Java,Parasoft JTest,https://www.parasoft.com/products/jtest,Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,main,52cce06e4172a88e67f0606020803e1f4453f3e4,,,,
102,Parasoft_JTest_GrowingGit_GitHub-Chinese-Top-Charts.md,Java,Parasoft JTest,https://www.parasoft.com/products/jtest,GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,master,1b2d56f565e0f6a23444093307e099313b379490,,,,
103,Parasoft_JTest_iluwatar_java-design-patterns.md,Java,Parasoft JTest,https://www.parasoft.com/products/jtest,iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,master,167aa5afdbf9083788d301ea294a9f20a40488f9,,,,
104,Parasoft_JTest_krahets_hello-algo.md,Java,Parasoft JTest,https://www.parasoft.com/products/jtest,krahets/hello-algo,https://github.com/krahets/hello-algo,main,59d07264fca31798e91ff8e8510cea19c6f6d6c1,,,,
105,Parasoft_JTest_macrozheng_mall.md,Java,Parasoft JTest,https://www.parasoft.com/products/jtest,macrozheng/mall,https://github.com/macrozheng/mall,master,fb4c49d917a493c8e4e8463df98438aafb38e5e8,,,,
106,Parasoft_JTest_MisterBooo_LeetCodeAnimation.md,Java,Parasoft JTest,https://www.parasoft.com/products/jtest,MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,master,fd42771f5e384625b4d4699becd09a09d0503211,,,,
107,Parasoft_JTest_doocs_advanced-java.md,Java,Parasoft JTest,https://www.parasoft.com/products/jtest,doocs/advanced-java,https://github.com/doocs/advanced-java,main,1ae7e898b28e2c2855353ad1426bd2da470529d2,,,,
108,Parasoft_JTest_spring-projects_spring-boot.md,Java,Parasoft JTest,https://www.parasoft.com/products/jtest,spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,main,d0421fa2d64f506c362199901929d858d916a5c6,,,,
109,Parasoft_JTest_elastic_elasticsearch.md,Java,Parasoft JTest,https://www.parasoft.com/products/jtest,elastic/elasticsearch,https://github.com/elastic/elasticsearch,main,71b1b30fa79610299a907bca3fed5834685f3942,,,,
110,Parasoft_JTest_kdn251_interviews.md,Java,Parasoft JTest,https://www.parasoft.com/products/jtest,kdn251/interviews,https://github.com/kdn251/interviews,master,a70c2250ec5f2e43972a359e050182f970ea2ffd,,,,
111,Parasoft_JTest_TheAlgorithms_Java.md,Java,Parasoft JTest,https://www.parasoft.com/products/jtest,TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,master,b075c19a548e7e1645f5024957cdec58e3dd577b,,,,
112,Parasoft_JTest_spring-projects_spring-framework.md,Java,Parasoft JTest,https://www.parasoft.com/products/jtest,spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,main,57dd2f46dbe1ba77c192dd685efbc1fe69631284,,,,
113,Parasoft_JTest_google_guava.md,Java,Parasoft JTest,https://www.parasoft.com/products/jtest,google/guava,https://github.com/google/guava,master,96fca0b74736621db15416bf03489a4d6678fb5d,,,,
114,Parasoft_JTest_NationalSecurityAgency_ghidra.md,Java,Parasoft JTest,https://www.parasoft.com/products/jtest,NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,master,8e5f272a433a3daf0fe38b32215e774a9d5a7d5e,,,,
115,Parasoft_JTest_ReactiveX_RxJava.md,Java,Parasoft JTest,https://www.parasoft.com/products/jtest,ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,3.x,2707b191c8b829e6bed41cd1ec7bcc9125e02af5,,,,
116,Parasoft_JTest_apache_dubbo.md,Java,Parasoft JTest,https://www.parasoft.com/products/jtest,apache/dubbo,https://github.com/apache/dubbo,3.2,20f252d147b2a630c6509c70790d10de08fd41f1,,,,
117,Parasoft_JTest_skylot_jadx.md,Java,Parasoft JTest,https://www.parasoft.com/products/jtest,skylot/jadx,https://github.com/skylot/jadx,master,09fa35f1445c5f0d74ae87dfa2df6dc48517f290,,,,
